Name,Lat,Lng,Address,Features,Booking
Hokkaido Classic Golf Club,42.7944,141.8156,"Abira, Hokkaido","Jack Nicklaus Design, Prestigious, Forest Course",
Sapporo Golf Club Wattsu Course,42.8744,141.4856,"Kitahiroshima, Hokkaido","Championship, Forest Course, Historic",
Otaru Golf Club,43.2044,141.1656,"Otaru, Hokkaido","Links Style, Ocean View, Championship",
The Windsor Golf Course,42.5944,140.7756,"Toyako, Hokkaido","Ocean View, Luxury Resort, Scenic View",
Aomori Royal Golf Club,40.5244,140.5956,"Owani, Aomori","Mountain Course, Resort, Scenic View",
Natsudomari Golf Links,41.0144,140.8956,"Hiranai, Aomori","True Links, Ocean View, Scenic View",
Iwate Numakunai Country Club,39.9444,141.2056,"Iwate, Iwate","Mountain Course, Scenic View, Nature",
Sendai Country Club,38.1644,140.9256,"Natori, Miyagi","Championship, Forest Course, Historic",
Rifu Golf Club,38.3544,140.9856,"Rifu, Miyagi","Championship, Scenic View, Forest Course",
Jun Classic Country Club,36.7544,140.1256,"Nakagawa, Tochigi","Resort, Unique Theme, Beginner Friendly",
Rope Club,36.7144,140.0856,"Shioya, Tochigi","Resort, Luxury, Scenic View",
Horai Country Club,36.9144,139.9556,"Nasushiobara, Tochigi","Championship, Forest Course, Strategic",
Nishinasuno Country Club,36.8944,139.9656,"Nasushiobara, Tochigi","Scenic View, Forest Course, Prestigious",
Sano Fuji Country Club,36.4244,139.5856,"Sano, Tochigi","Mountain Course, Scenic View, Affordable",
Twin Fields Golf Club,36.3844,136.4556,"Komatsu, Ishikawa","Championship, Scenic View, Resort",
Katayamazu Golf Club,36.2644,136.3356,"Kaga, Ishikawa","Ocean View, Championship, Prestigious",
Karizawa 72 Golf East,36.3344,138.6256,"Karuizawa, Nagano","Resort, Championship, Scenic View",
Karizawa 72 Golf West,36.3344,138.5856,"Karuizawa, Nagano","Resort, Beginner Friendly, Scenic View",
Old Karuizawa Golf Club,36.3544,138.6356,"Karuizawa, Nagano","Private Club, Historic, Exclusive",
Nagano Country Club,36.6944,138.1556,"Nagano, Nagano","Mountain Course, Scenic View, Forest Course",
Taiheiyo Club Karuizawa Course,36.4444,138.5856,"Naganohara, Gunma","Resort, Mountain Course, Scenic View",
Kusatsu Country Club,36.6344,138.5856,"Kusatsu, Gunma","Mountain Course, Scenic View, Resort",
Musashi Country Club Sasai Course,35.8444,139.3856,"Sayama, Saitama","Private Club, Championship, Forest Course",
Musashi Country Club Toyooka Course,35.8344,139.4056,"Iruma, Saitama","Private Club, Championship, Forest Course",
Sayama Golf Club,35.8144,139.3656,"Iruma, Saitama","Championship, Private Club, Prestigious",
Iruma Country Club,35.9144,139.2956,"Moroyama, Saitama","Mountain Course, Scenic View, Affordable",
Chiba Country Club Noda Course,35.9444,139.8556,"Noda, Chiba","Private Club, Championship, Forest Course",
Chiba Country Club Umesato Course,35.9344,139.8756,"Noda, Chiba","Private Club, Championship, Forest Course",
Narita Golf Club,35.8344,140.3856,"Narita, Chiba","Luxury, Championship, Private Club",
Caledonian Golf Club,35.7444,140.4056,"Shibayama, Chiba","Scenic View, Prestigious, Championship",
Tomisato Golf Club,35.7344,140.3856,"Tomisato, Chiba","Forest Course, Strategic, Private Club",
King Fields Golf Club,35.4844,140.1656,"Ichihara, Chiba","Championship, Luxury, Private Club",
Oak Village Golf Club,35.4244,140.1256,"Ichihara, Chiba","Scenic View, Strategic, Resort",
Brick & Wood Golf Club,35.3944,140.1156,"Ichihara, Chiba","American Style, Beginner Friendly, Resort",
Camellia Hills Country Club,35.4144,140.0456,"Kisarazu, Chiba","Championship, Luxury, Resort",
Kisarazu Golf Club,35.3844,139.9956,"Sodegaura, Chiba","Private Club, Forest Course, Traditional",
Country Club of Japan,35.3444,139.9856,"Kisarazu, Chiba","Prestigious, Championship, Forest Course",
Hamano Golf Club,35.5044,140.2156,"Ichihara, Chiba","Private Club, Championship, Forest Course",
Boso Country Club,35.3344,140.3156,"Mutsuzawa, Chiba","Championship, Mountain Course, Large Scale",
Eagle Point Golf Club,35.9844,140.1956,"Ushiku, Ibaraki","Luxury, Private Club, Championship",
Tsukuba Country Club,36.0144,140.0056,"Tsukubamirai, Ibaraki","Private Club, Championship, Forest Course",
Ibaraki Golf Club West Course,35.9744,139.9956,"Tsukubamirai, Ibaraki","Private Club, Championship, Historic",
Ibaraki Golf Club East Course,35.9744,139.9956,"Tsukubamirai, Ibaraki","Private Club, Championship, Historic",
The Royal Golf Club,36.1444,140.5456,"Hokota, Ibaraki","Longest Course, Luxury, Championship",
PGM Ishioka Golf Club,36.2144,140.2656,"Ishioka, Ibaraki","Jack Nicklaus Design, Championship, Prestigious",
Shishido Hills Country Club West Course,36.3244,140.3056,"Kasama, Ibaraki","Championship, Strategic, Forest Course",
Taiheiyo Club Minori Course,36.2144,140.3456,"Omitama, Ibaraki","Championship, Forest Course, Luxury",
Mito Golf Club,36.3444,140.3856,"Mito, Ibaraki","Forest Course, Affordable, Large Scale",
Ashinoko Country Club,35.1544,138.9756,"Mishima, Shizuoka","Mt. Fuji View, Mountain Course, Scenic View",
Susono Country Club,35.2144,138.9156,"Susono, Shizuoka","Mt. Fuji View, Championship, Scenic View",
Fuji Country Club,35.3344,138.8856,"Gotemba, Shizuoka","Historic, Mt. Fuji View, Scenic View",
Gotemba Golf Club,35.2744,138.8956,"Gotemba, Shizuoka","Mt. Fuji View, Mountain Course, Scenic View",
Izu Ohito Country Club,35.0144,138.9656,"Izu, Shizuoka","Scenic View, Resort, Mt. Fuji View",
Kawana Hotel Golf Course Oshima Course,34.9044,139.1356,"Ito, Shizuoka","Ocean View, Scenic View, Resort",
Izu Shimoda Country Club,34.7244,138.8756,"Minamiizu, Shizuoka","Ocean View, Mountain Course, Scenic View",
Five Hundred Club,35.1944,138.9156,"Susono, Shizuoka","Luxury, Mt. Fuji View, Private Club",
Hamaoka Course & Hotel,34.6244,138.1256,"Omaezaki, Shizuoka","Ocean View, Resort, Championship",
Katsuragi Golf Club Yamashiro Course,34.7944,137.9256,"Fukuroi, Shizuoka","Championship, Prestigious, Forest Course",
Shizuoka Country Club Hamaoka Course,34.6144,138.1356,"Omaezaki, Shizuoka","Ocean View, Resort, Scenic View",
Narayama Country Club,34.7144,135.8156,"Nara, Nara","Private Club, Championship, Historic",
Koma Country Club,34.7444,135.9756,"Nara, Nara","Championship, Scenic View, Forest Course",
Muroo Country Club,34.5644,136.0356,"Uda, Nara","Mountain Course, Scenic View, Forest Course",
Kasagi Golf Club,34.7544,135.9356,"Kasagi, Kyoto","Mountain Course, Scenic View, Strategic",
Kyoto Golf Club Kamigamo Course,35.0644,135.7656,"Kyoto, Kyoto","Historic, Private Club, Scenic View",
Joyo Country Club,34.8344,135.8256,"Joyo, Kyoto","Championship, Forest Course, Private Club",
Seta Golf Course North,34.9644,135.9356,"Otsu, Shiga","Championship, Resort, Scenic View",
Seta Golf Course West,34.9644,135.9356,"Otsu, Shiga","Beginner Friendly, Resort, Scenic View",
The Country Club Japan (Shiga),34.8544,136.1956,"Koka, Shiga","Prestigious, Strategic, Scenic View",
Shiga Country Club,34.9444,136.0856,"Koka, Shiga","Championship, Forest Course, Historic",
Meishin Hikoone Country Club,35.2444,136.3156,"Hikone, Shiga","Lake View, Affordable, Scenic View",
Hirono Golf Club,34.7944,135.0156,"Miki, Hyogo","No.1 in Japan, Private Club, Championship",
Naruo Golf Club,34.8144,135.3456,"Kawanishi, Hyogo","World Top 100, Links Style, Historic",
Ono Golf Club,34.8544,134.9356,"Ono, Hyogo","Prestigious, Forest Course, Historic",
The Masters Golf Club,34.7844,135.0456,"Miki, Hyogo","Championship, Luxury, Resort",
Rokko Kokusai Golf Club,34.7744,135.1556,"Kobe, Hyogo","Championship, Prestigious, Forest Course",
Arima Royal Golf Club,34.8544,135.1956,"Kobe, Hyogo","Luxury, Championship, Scenic View",
ABC Golf Club,34.8344,135.0356,"Kato, Hyogo","Championship, Prestigious, Luxury",
Yomiuri Country Club,34.8344,135.2956,"Nishinomiya, Hyogo","Championship, Forest Course, Private Club",
Hanasaka Golf Club,34.9444,134.9856,"Kato, Hyogo","Mountain Course, Scenic View, Strategic",
Cherry Hills Golf Club,34.7844,135.0756,"Miki, Hyogo","Robert Trent Jones Jr Design, Strategic, Scenic View",
Golden Valley Golf Club,34.8844,135.0556,"Nishiwaki, Hyogo","High Difficulty, Championship, Scenic View",
Sanda Pine Lake Golf Club,34.9144,135.2156,"Sanda, Hyogo","Scenic View, Resort, Strategic",
Pacific Golf Club,33.5644,133.5656,"Konan, Kochi","Ocean View, Scenic View, Resort",
Kochi Golf Club,33.5944,133.5156,"Kochi, Kochi","Mountain Course, Scenic View, Historic",
Takamatsu Gold Country Club,34.2244,133.9156,"Ayagawa, Kagawa","Scenic View, Strategic, Affordable",
Kotohira Golf Club,34.2044,133.8556,"Manno, Kagawa","Scenic View, Resort, Affordable",
Shimonoseki Golf Club,34.0944,130.9356,"Shimonoseki, Yamaguchi","Ocean View, Links Style, Championship",
Ube 72 Country Club Ajisu Course,33.9944,131.3556,"Ube, Yamaguchi","Championship, Large Scale, Resort",
Matsuura Golf Club,33.3244,129.7456,"Matsuura, Nagasaki","Mountain Course, Scenic View, Affordable",
Passage Kinkai Island Golf Club,32.8944,129.8356,"Nagasaki, Nagasaki","Ocean View, Luxury, Resort",
Nagasaki International Golf Club,32.9444,129.9856,"Isahaya, Nagasaki","Championship, Scenic View, Historic",
Ocean Palace Golf Club,32.8744,129.8156,"Nagasaki, Nagasaki","Island Green, Ocean View, Resort",
Aso Resort Grandvrio Hotel,32.9644,131.0256,"Aso, Kumamoto","Mountain Course, Scenic View, Resort",
Kumamoto Airport Country Club,32.8444,130.8656,"Kikuyo, Kumamoto","Championship, Forest Course, Scenic View",
The Masters Amakusa Course,32.4844,130.1556,"Amakusa, Kumamoto","Ocean View, Resort, Scenic View",
Aso Sky Blue Golf Club,32.9844,131.0656,"Takamori, Kumamoto","Mountain Course, Scenic View, Resort",
Phoenix Country Club Sumiyoshi Course,31.9544,131.4656,"Miyazaki, Miyazaki","Dunlop Phoenix Venue, Championship, Forest Course",
Tom Watson Golf Course,31.9644,131.4656,"Miyazaki, Miyazaki","Resort, Beginner Friendly, Night Golf",
Miyazaki Country Club,31.8644,131.4456,"Miyazaki, Miyazaki","Ocean View, Championship, Historic",
Nichinan Resort,31.6544,131.3256,"Nichinan, Miyazaki","Ocean View, Resort, Scenic View",
Sheraton Grande Ocean Resort,31.9544,131.4656,"Miyazaki, Miyazaki","Luxury, Ocean View, Resort",
Kagoshima Golf Club,31.5444,130.4156,"Kagoshima, Kagoshima","Sakurajima View, Scenic View, Historic",
Chiran Country Club,31.4144,130.4556,"Minamikyushu, Kagoshima","Scenic View, Forest Course, Affordable",
Kanoya Golf Club,31.3844,130.8256,"Kanoya, Kagoshima","Mountain Course, Scenic View, Affordable",
Southern Links Golf Club,26.1144,127.7356,"Yaese, Okinawa","Ocean View, Cliffside, Resort",
The Kanucha Golf Course,26.5444,128.0156,"Nago, Okinawa","Ocean View, Luxury Resort, Scenic View",
Pinnacle Golf Club,26.4144,127.8156,"Onna, Okinawa","Ocean View, Resort, Scenic View",
Okinawa Country Club,26.2344,127.7556,"Nishihara, Okinawa","Historic, City View, Affordable",
PGM Golf Resort Okinawa,26.4344,127.8356,"Onna, Okinawa","Ocean View, Championship, Resort",
Atta Terrace Golf Resort,26.5144,127.9156,"Onna, Okinawa","Luxury, Ocean View, Private Resort",
Ryukyu Golf Club,26.1544,127.7756,"Nanjo, Okinawa","Championship, Ocean View, Scenic View",
Banyan Tree Golf Club,35.7144,139.4256,"Fussa, Tokyo","Military Course, Unique, Forest Course",
Tama Hills Golf Course,35.6344,139.4656,"Inagi, Tokyo","Mountain Course, Scenic View, Forest Course",
Fuchu Country Club,35.6344,139.4556,"Tama, Tokyo","Private Club, Championship, Forest Course",
Koganei Golf Club,35.7144,139.5156,"Kodaira, Tokyo","Most Exclusive, Private Club, Historic",
Yomiuri Golf Club,35.6344,139.5156,"Inagi, Tokyo","Public Course, Championship, Scenic View",
Katsura Golf Club,35.4844,139.2156,"Hadano, Kanagawa","Mountain Course, Scenic View, Forest Course",
Sagamihara Golf Club East,35.5444,139.3856,"Sagamihara, Kanagawa","Private Club, Championship, Prestigious",
Sagamihara Golf Club West,35.5444,139.3856,"Sagamihara, Kanagawa","Private Club, Championship, Prestigious",
Totsuka Country Club West Course,35.4244,139.5156,"Yokohama, Kanagawa","Private Club, Championship, Forest Course",
Totsuka Country Club East Course,35.4244,139.5156,"Yokohama, Kanagawa","Private Club, Forest Course, Traditional",
Yokohama Country Club,35.4344,139.5456,"Yokohama, Kanagawa","Championship, Private Club, Prestigious",
Lake Wood Golf Club,35.3244,139.2656,"Oiso, Kanagawa","Scenic View, Resort, Luxury",
Hiratsuka Fuji Golf Course,35.3544,139.2556,"Nakai, Kanagawa","Mt. Fuji View, Mountain Course, Scenic View",
Odawara Arena,35.2844,139.1856,"Odawara, Kanagawa","Scenic View, Resort, Affordable",
Enoshima Golf Club,35.3144,139.4856,"Fujisawa, Kanagawa","Ocean View, Scenic View, Historic",
Chiba CC Umesato,35.9344,139.8756,"Noda, Chiba","Championship, Forest Course, Prestigious",
Kinojo Golf Club,34.7244,133.7456,"Soja, Okayama","Scenic View, Unique Design, Strategic",
JFE Setonaikai Golf Club,34.4244,133.4256,"Kasaoka, Okayama","Links Style, Ocean View, Championship",
Okayama Goshuin Golf Club,34.8544,133.9556,"Misaki, Okayama","Mountain Course, Scenic View, Affordable",
Hiroshima Golf Club,34.3744,132.5156,"Hiroshima, Hiroshima","Forest Course, Historic, City View",
Takanodai Country Club,35.6844,140.1156,"Chiba, Chiba","Private Club, Championship, Prestigious",
Sodegaura Country Club,35.6344,140.2356,"Chiba, Chiba","Championship, Forest Course, Private Club",
Fujigaya Country Club,35.8144,140.0156,"Kashiwa, Chiba","Forest Course, Traditional, Private Club",
Zao Country Club,38.1944,140.3556,"Yamagata, Yamagata","Mountain Course, Scenic View, Forest Course",
Yamagata Golf Club,38.3844,140.1956,"Yamanobe, Yamagata","Mountain Course, Resort, Scenic View",
Fukushima Golf Club,37.7844,140.3856,"Fukushima, Fukushima","Mountain Course, Scenic View, Affordable",
Spa Resort Hawaiians Golf,36.9644,140.8156,"Iwaki, Fukushima","Resort, Scenic View, Family Friendly",
Nasu Golf Club,37.0944,140.0156,"Nasu, Tochigi","Historic, Mountain Course, Scenic View",
Nasu Ogawa Golf Club,36.7844,140.1156,"Nakagawa, Tochigi","Championship, Scenic View, Strategic",
Nasu Kogen Golf Club,37.0544,140.0356,"Nasu, Tochigi","Resort, Mountain Course, Scenic View",
Ena Kogen Golf Club,35.4944,137.4156,"Ena, Gifu","Mountain Course, Scenic View, Affordable",
Gifu Seki Country Club,35.4844,136.9156,"Seki, Gifu","Championship, Private Club, Forest Course",
Aichi Country Club,35.1544,137.0156,"Nagoya, Aichi","Private Club, Forest Course, Historic",
Miyoshi Country Club,35.0944,137.0856,"Miyoshi, Aichi","Championship, Private Club, Forest Course",
Chukyo Golf Club Ishino Course,35.1444,137.1956,"Toyota, Aichi","Championship, Luxury, Scenic View",
Nishio Golf Club,34.8444,137.0556,"Nishio, Aichi","River View, Affordable, Beginner Friendly",
Toba Country Club,34.4244,136.8856,"Toba, Mie","Ocean View, Scenic View, Resort",
Nemun Sato Golf Club,34.3144,136.7856,"Shima, Mie","Ocean View, Luxury Resort, Scenic View",
Mie Country Club,35.0144,136.4856,"Komono, Mie","Mountain Course, Scenic View, Affordable",
Coccpa Resort Club,34.7244,136.4356,"Tsu, Mie","Resort, Luxury, Scenic View",
Hakusan Village Golf Course,34.7244,136.4356,"Tsu, Mie","Championship, Resort, Scenic View",
Ueno Shinoda Golf Club,34.7544,136.1556,"Iga, Mie","Forest Course, Strategic, Affordable",
Kochi Kuroshio,33.5444,133.7256,"Geisei, Kochi","Casio World Open Venue, Ocean View, Championship",
Matsuyama Golf Club,33.7544,132.8856,"Toon, Ehime","Mountain Course, Scenic View, Historic",
Ehime Golf Club,33.7144,132.7556,"Uchiko, Ehime","Mountain Course, Scenic View, Affordable",
Kuma Country Club,33.6544,132.8556,"Kumakogen, Ehime","Mountain Course, Scenic View, Nature",
Wakayama Golf Club,34.1844,135.1556,"Wakayama, Wakayama","Ocean View, Forest Course, Affordable",
Kishu Golf Club,33.7544,135.3956,"Tanabe, Wakayama","Mountain Course, Scenic View, Resort",
Satsuma Resort Golf Club,31.8944,130.4556,"Satsuma, Kagoshima","Mountain Course, Luxury Resort, Scenic View",
Kagoshima Airport 36 CC,31.8544,130.7156,"Kirishima, Kagoshima","Mountain Course, Large Scale, Scenic View",
Miyazaki Lakeside Golf Club,31.9844,131.4256,"Miyazaki, Miyazaki","Lake View, Resort, Scenic View",
Takachiho Country Club,31.8844,130.8556,"Kirishima, Kagoshima","Mountain Course, Scenic View, Affordable",
Oita Country Club,33.1544,131.5556,"Oita, Oita","Forest Course, Scenic View, Affordable",
Beppu Golf Club,33.3244,131.4156,"Kitsuki, Oita","Resort, Scenic View, Historic",
Kuju Takahara Golf Club,33.0544,131.2556,"Taketa, Oita","High Altitude, Mountain Course, Scenic View",
Huis Ten Bosch Country Club,33.0944,129.8556,"Sasebo, Nagasaki","Jack Nicklaus Design, Resort, Scenic View",
Saga Classic Golf Club,33.3144,130.1556,"Taku, Saga","Forest Course, Scenic View, Affordable",
Wakagi Golf Club,33.2544,130.0556,"Takeo, Saga","Scenic View, Unique Theme, Strategic",
Nishinippon Country Club,33.6444,130.6556,"Nogata, Fukuoka","Championship, Scenic View, Forest Course",
Fukuoka Country Club Wajiro Course,33.6944,130.4356,"Fukuoka, Fukuoka","Ocean View, Championship, Historic",
Fukuoka International Golf Club,33.7544,130.5556,"Munakata, Fukuoka","Forest Course, Large Scale, Affordable",
The Classic Golf Club,33.7144,130.6156,"Miyawaka, Fukuoka","Championship, Forest Course, Prestigious",
Shizukuishi Golf Course,39.6544,140.9556,"Shizukuishi, Iwate","Mountain Course, Resort, Scenic View",
Appi Kogen Golf Club,40.0144,140.9856,"Hachimantai, Iwate","Resort, Championship, Scenic View",
Towada Highland Golf Club,40.5544,140.8556,"Towada, Aomori","Mountain Course, Scenic View, Resort",
Akita Country Club,39.7544,140.0556,"Akita, Akita","Ocean View, Forest Course, Affordable",
Yamagata Golf Club,38.3544,140.1556,"Yamanobe, Yamagata","Mountain Course, Strategic, Scenic View",
Niigata Golf Club,37.8544,138.9556,"Niigata, Niigata","Ocean View, Historic, Affordable",
Yuzawa Kogen Golf Club,36.9544,138.8156,"Yuzawa, Niigata","Mountain Course, Resort, Scenic View",
Karuizawa Asama Golf Course,36.3144,138.5856,"Karuizawa, Nagano","Resort, Luxury, Scenic View",
Ueda Sugadaira Kogen Golf,36.5244,138.3556,"Ueda, Nagano","High Altitude, Mountain Course, Scenic View",
Tateshina Highland Golf Club,36.0544,138.2556,"Chino, Nagano","Resort, Mountain Course, Scenic View",
Suwa Lake View Golf Club,36.0144,138.1556,"Suwa, Nagano","Lake View, Mountain Course, Scenic View",
